S,D,SD,rho_avg_biased_mean,rho_avg_biased_std,rho_avg_biased_mcse,rho_irt_biased_mean,rho_irt_biased_std,rho_irt_biased_mcse,delta_rho_mean,rho_avg_mcar_mean,rho_avg_mcar_std,rho_avg_mcar_mcse,top_misrank_rate_biased,top_misrank_rate_mcar,n_seeds,n_irt_converged
0.4,2.5,1.0,0.9871,0.0143,0.0037,1.0,0.0,0.0,0.0129,0.9855,0.0134,0.0035,0.0,0.07,15,15
0.4,3.0,1.2,0.9644,0.0327,0.0084,0.9992,0.003,0.0008,0.0347,0.979,0.0156,0.004,0.0,0.07,15,15
0.4,3.5,1.4,0.9628,0.0285,0.0074,1.0,0.0,0.0,0.0372,0.9677,0.0175,0.0045,0.07,0.2,15,15
0.4,4.0,1.6,0.9378,0.0447,0.0115,1.0,0.0,0.0,0.0622,0.9653,0.0225,0.0058,0.0,0.33,15,15
0.4,4.5,1.8,0.8634,0.0639,0.0165,1.0,0.0,0.0,0.1366,0.9499,0.0303,0.0078,0.13,0.2,15,15
0.4,5.0,2.0,0.8286,0.0982,0.0253,1.0,0.0,0.0,0.1714,0.9176,0.0658,0.017,0.2,0.13,15,15
0.45,0.5,0.225,0.9984,0.0041,0.0011,0.9992,0.003,0.0008,0.0008,0.9941,0.0059,0.0015,0.0,0.27,15,15
0.45,1.0,0.45,0.9968,0.0054,0.0014,1.0,0.0,0.0,0.0032,0.9943,0.006,0.0016,0.0,0.07,15,15
0.45,1.5,0.675,0.9919,0.0096,0.0025,1.0,0.0,0.0,0.0081,0.9863,0.0116,0.003,0.0,0.0,15,15
0.45,2.0,0.9,0.983,0.0112,0.0029,1.0,0.0,0.0,0.017,0.9895,0.0098,0.0025,0.0,0.0,15,15
0.45,2.5,1.125,0.9774,0.0328,0.0085,1.0,0.0,0.0,0.0226,0.9814,0.0187,0.0048,0.0,0.0,15,15
0.45,3.0,1.35,0.9572,0.0229,0.0059,1.0,0.0,0.0,0.0428,0.9636,0.0198,0.0051,0.07,0.07,15,15
0.45,3.5,1.575,0.941,0.0375,0.0097,1.0,0.0,0.0,0.059,0.9563,0.0296,0.0076,0.0,0.13,15,15
0.45,4.0,1.8,0.906,0.0643,0.0166,1.0,0.0,0.0,0.094,0.9376,0.058,0.015,0.13,0.2,15,15
0.45,4.5,2.025,0.8481,0.0774,0.02,0.9992,0.003,0.0008,0.1511,0.9418,0.0307,0.0079,0.2,0.4,15,15
0.45,5.0,2.25,0.7739,0.0967,0.025,1.0,0.0,0.0,0.2261,0.899,0.0771,0.0199,0.53,0.47,15,15
0.5,0.5,0.25,0.9935,0.006,0.0016,1.0,0.0,0.0,0.0065,0.9911,0.0094,0.0024,0.07,0.2,15,15
0.5,1.0,0.5,0.996,0.0057,0.0015,1.0,0.0,0.0,0.004,0.9903,0.0119,0.0031,0.07,0.0,15,15
0.5,1.5,0.75,0.9943,0.0098,0.0025,0.9992,0.003,0.0008,0.0048,0.9887,0.0143,0.0037,0.0,0.0,15,15
0.5,2.0,1.0,0.9782,0.0161,0.0042,1.0,0.0,0.0,0.0218,0.9903,0.0079,0.002,0.07,0.0,15,15
0.5,2.5,1.25,0.9685,0.025,0.0064,1.0,0.0,0.0,0.0315,0.9612,0.0373,0.0096,0.0,0.07,15,15
0.5,3.0,1.5,0.9616,0.0254,0.0066,1.0,0.0,0.0,0.0384,0.9594,0.027,0.007,0.0,0.07,15,15
0.5,3.5,1.75,0.9248,0.0489,0.0126,1.0,0.0,0.0,0.0752,0.9539,0.0213,0.0055,0.07,0.27,15,15
0.5,4.0,2.0,0.9006,0.0623,0.0161,1.0,0.0,0.0,0.0994,0.924,0.0219,0.0057,0.13,0.4,15,15
0.5,4.5,2.25,0.8133,0.0879,0.0227,1.0,0.0,0.0,0.1867,0.8982,0.0598,0.0155,0.33,0.47,15,15
0.5,5.0,2.5,0.7157,0.1146,0.0296,1.0,0.0,0.0,0.2843,0.9055,0.0458,0.0118,0.4,0.4,15,15
0.55,0.5,0.275,0.9949,0.0073,0.0019,0.9992,0.003,0.0008,0.0042,0.9943,0.006,0.0016,0.07,0.07,15,15
0.55,1.0,0.55,0.996,0.0057,0.0015,1.0,0.0,0.0,0.004,0.9887,0.0129,0.0033,0.0,0.07,15,15
0.55,1.5,0.825,0.9855,0.011,0.0028,0.9992,0.003,0.0008,0.0137,0.9871,0.0094,0.0024,0.0,0.07,15,15
0.55,2.0,1.1,0.9758,0.0153,0.004,0.9992,0.003,0.0008,0.0234,0.983,0.0124,0.0032,0.0,0.0,15,15
0.55,2.5,1.375,0.9547,0.0185,0.0048,1.0,0.0,0.0,0.0453,0.9448,0.037,0.0096,0.0,0.07,15,15
0.55,3.0,1.65,0.9378,0.0396,0.0102,0.9992,0.003,0.0008,0.0614,0.9523,0.0336,0.0087,0.07,0.13,15,15
0.55,3.5,1.925,0.8681,0.0838,0.0216,1.0,0.0,0.0,0.1319,0.9313,0.0359,0.0093,0.13,0.13,15,15
0.55,4.0,2.2,0.7884,0.0989,0.0255,1.0,0.0,0.0,0.2116,0.9038,0.0787,0.0203,0.27,0.4,15,15
0.55,4.5,2.475,0.6356,0.1768,0.0456,1.0,0.0,0.0,0.3644,0.8893,0.0704,0.0182,0.33,0.27,15,15
0.55,5.0,2.75,0.5734,0.1755,0.0453,1.0,0.0,0.0,0.4266,0.86,0.0646,0.0167,0.4,0.2,15,15
0.6,0.5,0.3,0.9911,0.0054,0.0014,0.9984,0.0041,0.0011,0.0073,0.9893,0.0158,0.0041,0.07,0.2,15,15
0.6,1.0,0.6,0.9952,0.0059,0.0015,1.0,0.0,0.0,0.0048,0.9887,0.0121,0.0031,0.0,0.13,15,15
0.6,1.5,0.9,0.9717,0.0268,0.0069,0.9992,0.003,0.0008,0.0275,0.9822,0.0202,0.0052,0.0,0.07,15,15
0.6,2.0,1.2,0.9798,0.0151,0.0039,1.0,0.0,0.0,0.0202,0.9677,0.0196,0.0051,0.07,0.07,15,15
0.6,2.5,1.5,0.941,0.0362,0.0093,0.9992,0.003,0.0008,0.0582,0.9556,0.0302,0.0078,0.07,0.07,15,15
0.6,3.0,1.8,0.9135,0.0769,0.0199,1.0,0.0,0.0,0.0865,0.9507,0.0267,0.0069,0.07,0.2,15,15
0.6,3.5,2.1,0.84,0.0757,0.0195,0.9992,0.003,0.0008,0.1592,0.9127,0.0384,0.0099,0.0,0.33,15,15
0.6,4.0,2.4,0.8147,0.0877,0.0227,1.0,0.0,0.0,0.1853,0.907,0.0576,0.0149,0.27,0.53,15,15
0.6,4.5,2.7,0.6405,0.1538,0.0397,0.9976,0.0048,0.0013,0.3571,0.8614,0.0688,0.0178,0.2,0.33,15,15
0.6,5.0,3.0,0.4877,0.1821,0.047,1.0,0.0,0.0,0.5123,0.8624,0.0871,0.0225,0.67,0.67,15,15
0.65,0.5,0.325,0.9935,0.0098,0.0025,0.9976,0.0048,0.0013,0.004,0.9834,0.012,0.0031,0.13,0.27,15,15
0.65,1.0,0.65,0.9903,0.011,0.0028,0.9976,0.0048,0.0013,0.0073,0.9824,0.0106,0.0027,0.0,0.0,15,15
